forecast_period,reference,mean_returned,std_returned,sim_date,end_date
2022-11-04,sugar_1,17.539944374987048,3.554491369018726e-15,2022-11-04,2024-03-31
2022-11-11,sugar_1,17.531887491099173,0.0637508438888293,2022-11-04,2024-03-31
2022-11-18,sugar_1,17.52147824608584,0.0922503422698554,2022-11-04,2024-03-31
2022-11-25,sugar_1,17.51721496395008,0.1133481235060928,2022-11-04,2024-03-31
2022-12-02,sugar_1,17.510964325774257,0.1282448754094322,2022-11-04,2024-03-31
2022-12-09,sugar_1,17.505159708291668,0.1456144532278795,2022-11-04,2024-03-31
2022-12-16,sugar_1,17.49963932595442,0.1585980896666197,2022-11-04,2024-03-31
2022-12-23,sugar_1,17.490716667945765,0.1748712279948488,2022-11-04,2024-03-31
2022-12-30,sugar_1,17.48279410068819,0.1876768222042092,2022-11-04,2024-03-31
2023-01-06,sugar_1,17.47644487569421,0.2000740945051506,2022-11-04,2024-03-31
2023-01-13,sugar_1,17.467854903346005,0.210188264082448,2022-11-04,2024-03-31
2023-01-20,sugar_1,17.460777227019438,0.2184219229753443,2022-11-04,2024-03-31
2023-01-27,sugar_1,17.454224976362756,0.2314898673944167,2022-11-04,2024-03-31
2023-02-03,sugar_1,17.448947384343025,0.2406914454720909,2022-11-04,2024-03-31
2023-02-10,sugar_1,17.442935538295977,0.2489663324822026,2022-11-04,2024-03-31
2023-02-17,sugar_1,17.43505750154585,0.2583361820984196,2022-11-04,2024-03-31
2023-02-24,sugar_1,17.425088999366665,0.265712625964369,2022-11-04,2024-03-31
2023-03-03,sugar_1,17.416448697798437,0.2746368210770694,2022-11-04,2024-03-31
2023-03-10,sugar_1,17.41028125918895,0.2829316221106721,2022-11-04,2024-03-31
2023-03-17,sugar_1,17.40244146069452,0.2896870097611523,2022-11-04,2024-03-31
2023-03-24,sugar_1,17.396336493046835,0.2978410523585511,2022-11-04,2024-03-31
2023-03-31,sugar_1,17.38869262711584,0.30513472569981,2022-11-04,2024-03-31
2023-04-07,sugar_1,17.381820075542198,0.3117946770460504,2022-11-04,2024-03-31
2023-04-14,sugar_1,17.376231292710912,0.3192938355964854,2022-11-04,2024-03-31
2023-04-21,sugar_1,17.368393248963777,0.3274717258313612,2022-11-04,2024-03-31
2023-04-28,sugar_1,17.360834070988094,0.3351632185228451,2022-11-04,2024-03-31
2023-05-05,sugar_1,17.357100878478832,0.3390328326880896,2022-11-04,2024-03-31
2023-05-12,sugar_1,17.349997432225504,0.343666704963072,2022-11-04,2024-03-31
2023-05-19,sugar_1,17.34278575914274,0.3492461166302531,2022-11-04,2024-03-31
2023-05-26,sugar_1,17.336994039035346,0.3553985472500977,2022-11-04,2024-03-31
2023-06-02,sugar_1,17.331755267062626,0.3590223824145775,2022-11-04,2024-03-31
2023-06-09,sugar_1,17.323188244010964,0.367098472760542,2022-11-04,2024-03-31
2023-06-16,sugar_1,17.31603293504564,0.3716095734023946,2022-11-04,2024-03-31
2023-06-23,sugar_1,17.309383742354846,0.3775761236345047,2022-11-04,2024-03-31
2023-06-30,sugar_1,17.302748198099913,0.378106017344393,2022-11-04,2024-03-31
2023-07-07,sugar_1,17.297340634955702,0.3831135878346652,2022-11-04,2024-03-31
2023-07-14,sugar_1,17.291367926282607,0.3862506350433259,2022-11-04,2024-03-31
2023-07-21,sugar_1,17.287391378553515,0.3904527915174154,2022-11-04,2024-03-31
2023-07-28,sugar_1,17.280766427805986,0.3966326779325678,2022-11-04,2024-03-31
2023-08-04,sugar_1,17.277811421759726,0.4016278532147027,2022-11-04,2024-03-31
2023-08-11,sugar_1,17.27223465494452,0.408812171109377,2022-11-04,2024-03-31
2023-08-18,sugar_1,17.26454982409898,0.41568365704442,2022-11-04,2024-03-31
2023-08-25,sugar_1,17.258602387914788,0.4174946545233983,2022-11-04,2024-03-31
2023-09-01,sugar_1,17.247910686523813,0.4204826120997556,2022-11-04,2024-03-31
2023-09-08,sugar_1,17.24514202177187,0.4265806705659737,2022-11-04,2024-03-31
2023-09-15,sugar_1,17.2352278931614,0.4354635952263918,2022-11-04,2024-03-31
2023-09-22,sugar_1,17.226594204285437,0.4397257931609526,2022-11-04,2024-03-31
2023-09-29,sugar_1,17.219202049974264,0.4438428358927533,2022-11-04,2024-03-31
2023-10-06,sugar_1,17.211601100016285,0.4479341029764508,2022-11-04,2024-03-31
2023-10-13,sugar_1,17.203744512018414,0.4540599947231442,2022-11-04,2024-03-31
2023-10-20,sugar_1,17.19588327736969,0.4621046472159327,2022-11-04,2024-03-31
2023-10-27,sugar_1,17.192610839692655,0.4645442597573971,2022-11-04,2024-03-31
2023-11-03,sugar_1,17.186127919031186,0.4708967248487269,2022-11-04,2024-03-31
2023-11-10,sugar_1,17.178403447711908,0.4728025496277954,2022-11-04,2024-03-31
2023-11-17,sugar_1,17.16964015556581,0.4785028676291498,2022-11-04,2024-03-31
2023-11-24,sugar_1,17.16071338925086,0.4822888650499864,2022-11-04,2024-03-31
2023-12-01,sugar_1,17.152613265075153,0.4834513728511887,2022-11-04,2024-03-31
2023-12-08,sugar_1,17.145669284869804,0.4864176919858609,2022-11-04,2024-03-31
2023-12-15,sugar_1,17.13801610839594,0.4908247404920446,2022-11-04,2024-03-31
2023-12-22,sugar_1,17.129019439198895,0.4937738152435592,2022-11-04,2024-03-31
2023-12-29,sugar_1,17.125108815101303,0.4969146127476726,2022-11-04,2024-03-31
2024-01-05,sugar_1,17.1176308178054,0.5031195250247449,2022-11-04,2024-03-31
2024-01-12,sugar_1,17.110153900037453,0.5059349865949052,2022-11-04,2024-03-31
2024-01-19,sugar_1,17.10363464384412,0.5116192737768885,2022-11-04,2024-03-31
2024-01-26,sugar_1,17.095417807882573,0.5141895674553518,2022-11-04,2024-03-31
2024-02-02,sugar_1,17.088741895883782,0.5193806264392915,2022-11-04,2024-03-31
2024-02-09,sugar_1,17.08281389567706,0.5244738260235332,2022-11-04,2024-03-31
2024-02-16,sugar_1,17.07775980893684,0.5310346888980498,2022-11-04,2024-03-31
2024-02-23,sugar_1,17.072211285834634,0.5344156076533754,2022-11-04,2024-03-31
2024-03-01,sugar_1,17.063392393601305,0.5375133676932118,2022-11-04,2024-03-31
2024-03-08,sugar_1,17.06056875905946,0.539592047439611,2022-11-04,2024-03-31
2024-03-15,sugar_1,17.055998758954686,0.5444488742584994,2022-11-04,2024-03-31
2024-03-22,sugar_1,17.0494423909366,0.5447390094918321,2022-11-04,2024-03-31
2024-03-29,sugar_1,17.041984017093842,0.5471574143266484,2022-11-04,2024-03-31
2022-11-04,hydrous,3048.0502538671817,9.09949790468794e-13,2022-11-04,2024-03-31
2022-11-11,hydrous,3046.3118403959843,11.728220511306509,2022-11-04,2024-03-31
2022-11-18,hydrous,3044.581949501538,16.917152505736343,2022-11-04,2024-03-31
2022-11-25,hydrous,3043.151587664691,21.074315550087636,2022-11-04,2024-03-31
