date,SBMAY1 Comdty,SBJUL1 Comdty,SBOCT1 Comdty,SBMAR2 Comdty,NY No.11,Hydrous Ethanol,Anhydrous Ethanol,Fertilizer Costs,Brent Crude,USDBRL,Energy Prices,SBMAR1 Comdty
2023-02-17,19.8,19.32,19.21,19.34,21.41,2802.0,3.0662,330.0,83.0,5.1627,69.04,21.41
2023-02-10,20.04,19.37,19.22,19.33,21.58,2804.5,3.1318,355.0,86.39,5.2138,69.04,21.58
2023-02-03,19.99,19.28,19.16,19.21,21.24,2764.5,3.0769,395.0,79.94,5.1332,69.04,21.24
2023-01-27,19.61,18.79,18.55,18.69,20.96,2868.0,2.991,415.0,86.66,5.1086,69.04,20.96
2023-01-20,18.41,17.77,17.67,17.86,19.72,2655.0,2.937,452.5,87.63,5.2071,69.04,19.72
2023-01-13,18.41,17.68,17.53,17.7,19.73,2662.5,3.0829,452.5,85.28,5.1034,69.04,19.73
2023-01-06,17.91,17.34,17.28,17.45,18.96,2783.5,3.2284,462.5,78.57,5.225,67.13,18.96
2022-12-23,19.5,18.5,18.21,18.26,20.98,2971.5,3.1888,485.0,83.92,5.162,55.7,20.98
2022-12-16,18.82,17.99,17.77,17.86,20.09,2832.5,3.1061,502.5,79.04,5.3073,55.7,20.09
2022-12-09,18.46,17.79,17.64,17.69,19.6,2788.0,3.1511,520.0,76.1,5.2471,55.7,19.6
2022-12-02,18.33,17.65,17.46,17.44,19.48,2858.0,3.2311,540.0,85.57,5.219,55.7,19.48
2022-11-25,18.36,17.77,17.64,17.67,19.33,2894.5,3.2423,564.0,83.63,5.3987,55.7,19.33
2022-11-18,18.84,18.09,17.83,17.78,20.05,2919.5,3.271,580.0,87.62,5.377,55.7,20.05
2022-11-11,18.6,17.89,17.72,17.75,19.64,2880.0,3.2951,605.0,95.99,5.3264,55.7,19.64
2022-11-04,17.77,17.23,17.24,17.41,18.71,2982.0,3.1941,605.0,98.57,5.0592,55.7,18.71
2022-10-28,16.65,16.19,16.26,16.51,17.58,2828.5,3.074,635.0,95.77,5.2954,55.7,17.58
2022-10-21,17.48,17.05,17.08,17.26,18.38,2785.0,3.1056,660.0,93.5,5.1631,55.7,18.38
